,Клиент,unique_orders_count,unique_orders_order_list
488,Ай Ди Консалтинг,1,[13449]
489,АйБиКон,1,[10158]
490,АйДиСМ,1,[12865]
491,Айленд ФМ,1,[7607]
492,Айлэнд Дженерал Сервисес,1,[14914]
493,Аймаканов Виталий,1,[12368]
494,Айсберг АС Москва,1,[14775]
495,АкДаРу,1,[10308]
496,Аква-Сити,1,[9070]
497,АкваГрин,1,[7552]
498,АкваТерра,1,[7449]
499,Акватик,2,[7914 9725]
500,Аквафор-Сибирь,1,[13234]
501,Аквилон,2,[ 8897 11155]
502,Аккорд,1,[10671]
503,Аккурайд Уилз Руссиа,1,[14854]
504,Акопян Рубен Саркисович,1,[14624]
505,Акрон Дорогобуж,1,[8488]
506,Аксайгазсервис,1,[7028]
507,Аксель,1,[14602]
508,Аксель-Норд,1,[14816]
509,Аксесс-А.С.К.,2,[ 8390 10821]
510,Актобе-Экорт,1,[9998]
511,Актюбрентген,1,[8358]
512,Акустик Групп,1,[8414]
513,Алабуга Девелопмент,24,"[13760 13995 14889 15082 15256 12494 12616 12645 12692 12763 12764 13010
 13019 13097 13100 13259 13293 13321 13504 13571 13672 13683 12321 12103]"
514,Алатон ,1,[7793]
515,Алгоритм,3,[ 8395 15287 11745]
516,Алде-Групп,1,[6747]
517,Алекс Групп,1,[9393]
518,АлексСтрой,1,[15143]
519,Александр ,2,[9035 7533]
520,Александров В.О.,1,[11885]
521,Алексеев Е.В,1,[12478]
522,Алексеев С.В.,1,[10102]
523,Алексеевский Бекон,1,[14450]
524,Алексей,2,[9965 7184]
525,Алексей Тимченко,1,[6808]
526,Алексей-м,1,[8055]
527,Алешкина А.А.,1,[10217]
528,Алимов М.С.,1,[8300]
529,Алиста ,1,[7456]
530,Алмаз Удобрения,1,[11993]
531,Алмаз-Антей Строй,1,[7959]
532,Алтын Дан  ,1,[7808]
533,Алтэкс - Строй,5,[14535 15264  7095  7111 12154]
534,Алтэкс-Строй,7,[ 9430  8852  9362  9361  7528 14185 11644]
535,Алые Паруса ,1,[7639]
536,Алькор и Ко,1,[11542]
537,АльмакорГруп,1,[11291]
538,Альмок,4,[14763 14846 12936 13171]
539,Альт,1,[7758]
540,Альтаир,1,[8919]
541,Альтстрой,1,[11037]
542,Альфа Банк ,1,[14655]
543,Альфа Строй,3,[8438 8071 8184]
544,Альфа Трейд,1,[13603]
545,Альфа-Маркет,1,[14272]
546,Альфа-С,1,[12730]
547,АльфаМет,1,[13263]
548,Альфааква Инжиниринг,1,[11697]
549,Альфастрой,1,[7886]
550,Альянс,3,[ 8643  9829 13776]
551,Альянс Сервис,2,[ 9917 13463]
552,Альянс Электро,2,[13570 11266]
553,Альянс-ДВ Камчатка,1,[8419]
554,Альянс-Инжинирин,1,[8085]
555,АльянсАвтоГрупп,1,[12420]
556,АльянсТелекоммуникейшнс,2,[13464 11966]
557,Алюком,1,[7923]
558,Аммоний Агротехнологии,1,[12470]
559,Амур Золото,2,[10712 10946]
560,Амурсвязьсервис,1,[10039]
561,Ангарская нефтехимическая компания,2,[6685 7005]
562,Андам Групп Интернэшнл ,1,[11103]
563,Андрюшин,2,[8812 7335]
564,Ансер,1,[13116]
565,Антей-СтройИнвест,1,[14091]
566,Антонюк,1,[9093]
567,АнтрацитИнвестПроект,6,[13943 14171 12507 12965 13419 13467]
568,Апатит,5,[ 8839 12562 12371 11703 11510]
569,Апатитыводоканал,1,[11525]
570,Апекс Групп,1,[14728]
571,Апельсин ,1,[7438]
572,Аполлон Инжиниринг,1,[11598]
573,Аппрайзер,1,[13264]
574,Арбол,1,[9276]
575,Аргент Альянс,1,[13536]
576,Аржановское,1,[13537]
577,Аризона-II ,1,[7642]
578,Аркадий Морозов,1,[7062]
579,Арктик - Сервис,1,[13474]
580,Арктик Логистик Групп,2,[14614 15047]
581,Арктик Энергострой,1,[12146]
582,АрктикСпецЭнергоСтрой,2,[ 9271 13037]
583,АрктикЭнергоСтрой,1,[8409]
584,Арктика-Логистик,1,[10052]
585,Арктикгаз,3,[8862 7948 9615]
586,Арктический и антарктический научно-исследовательский инстит,1,[9435]
587,Арктический и антарктический научно-исследовательский институт (ААНИИ),1,[14740]
588,Армада,1,[7806]
589,Армада 51,2,[10456 11824]
590,Армстройэкспорт,1,[9606]
591,Аромика ,1,[7406]
592,Арт Вэй Инжиниринг,1,[14992]
593,Арт-Строй,1,[6978]
594,Арт-Тек,1,[12301]
595,АртИнвест,1,[7571]
596,АртМакс,1,[9144]
597,АртСтрой,2,[9488 9930]
598,АртСтройТехнология,2,[ 9122 14459]
599,АртЭнергоСтрой,1,[12833]
600,Артамира,1,[12499]
601,Артамонов М.Д.,4,[ 8572  9143 15022 11294]
602,Артамонова И.А.,1,[10845]
603,Артель старателей Шахтер,1,[8302]
604,Артеменко М.М.,1,[8843]
605,Артис-Энерго,1,[12052]
